"session","round","playerid","alterid","previouslytie","nowtie","playeraction","alteraction","other_d","action_num","break_tie","make_tie","state","CC","DD","player_empanel_id","alter_empanel_id"
"experiment-1.9-viscous-03_43.csv",2,"YlgbdAo2","BLMYbFQS",0,1,"C","C",0,1,0,1,"CC",1,0,"098223_3992_03","4098582171_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"YTijWWIK","A9JZ1kn5",0,1,"C","C",0,1,0,1,"CC",1,0,"142236_3992_02","4142230299_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"YTijWWIK","sfkkLKmq",1,1,"C","C",0,0,0,0,"CC",1,0,"142236_3992_02","4198729760_78419_01"
"experiment-1.1-fluid-03_43.csv",2,"YTijWWIK","X3gfJuyR",0,1,"C","C",0,1,0,1,"CC",1,0,"142236_3992_02","4128113320_78419_01"
"experiment-1.1-fluid-01_41.csv",2,"YU0ujkMc","fgcHkh83",1,1,"D","C",0,0,0,0,"DC",0,0,"4141903968_78419_01","1869095040_78419_01"
"e1.1_2017-09-03",2,"ZoBQOtGx","7MDqjRqy",1,1,"C","C",0,0,0,0,"CC",1,0,"4141904285_78419_01","4142237231_78419_01"
"e1.1_2017-09-03",2,"ZoBQOtGx","ybzRLCfv",1,1,"C","C",0,0,0,0,"CC",1,0,"4141904285_78419_01","014897_S01_01"
"e1.5_2017-09-06",2,"ZZXk3eCC","Aosqpm7K",0,1,"C","C",0,1,0,1,"CC",1,0,"4183007714_78419_01","4198745311_78419_01"
"e1.5_2017-09-06",3,"16hkBHE1","LYgovvuG",1,1,"C","C",0,0,0,0,"CC",1,0,"4198730040_78419_01","028085_S01_HH"
"e1.5_2017-09-06",3,"1RCOHcfE","L3XqYDJz",0,1,"C","C",0,1,0,1,"CC",1,0,"111400_3992_01","008751_S01_HH"
"e1.2_2017-08-24",3,"2eCW1FlE","SJ4dRWlS",1,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","4098587119_78419_01"
"e1.2_2017-08-24",3,"2eCW1FlE","V8er8tZD",0,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","4109808109_78419_01"
"e1.2_2017-08-24",3,"2eCW1FlE","YsqB1Gnw",1,1,"C","C",0,1,0,1,"CC",1,0,"4142230532_78419_01","070133_S02_01"
"e1.5_2017-09-06",3,"4MEMPAHc","HDIRa6VS",1,1,"C","C",0,0,0,0,"CC",1,0,"4148905031_78419_01","4135951463_78419_01"
"e1.5_2017-09-06",3,"4MEMPAHc","S9a33uXU",1,1,"C","C",0,0,0,0,"CC",1,0,"4148905031_78419_01","4191195351_5107_01"
"e1.5_2017-09-06",3,"4MEMPAHc","uaj5qefo",1,1,"C","C",0,0,0,0,"CC",1,0,"4148905031_78419_01","4209514667_78419_01"
"e1.5_2017-09-06",3,"4MEMPAHc","VJyZMbUX",1,1,"C","C",0,0,0,0,"CC",1,0,"4148905031_78419_01","4210177559_78419_01"
"e1.2_2017-08-24",3,"5Dc9pgMR","8xSP33VT",0,0,"D","C",0,0,0,0,"DC",0,0,"1869079206_78419_01","063329_S02_02"
"e1.2_2017-08-24",3,"5Dc9pgMR","BTEQAhN9",1,1,"D","C",0,0,0,0,"DC",0,0,"1869079206_78419_01","4141905319_78419_01"
"e1.5_2017-09-06",3,"6eq39r0t","2Ls5Rpdm",1,1,"C","C",0,0,0,0,"CC",1,0,"1590401214_78419_01","4198746100_78419_01"
"e1.5_2017-09-06",3,"6eq39r0t","ctPYgH2O",1,1,"C","C",0,0,0,0,"CC",1,0,"1590401214_78419_01","4209524955_78419_01"
"experiment-1.9-viscous-03_43.csv",3,"7o4oXVjV","uBLXJeGr",0,0,"D","C",0,0,0,0,"DC",0,0,"4209509867_78419_01","4198736146_78419_01"
"e1.5_2017-09-06",3,"7tq3tbUd","16hkBHE1",1,1,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","4198730040_78419_01"
"e1.5_2017-09-06",3,"7tq3tbUd","1RCOHcfE",1,1,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","111400_3992_01"
"e1.5_2017-09-06",3,"7tq3tbUd","L3XqYDJz",0,0,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","008751_S01_HH"
"e1.5_2017-09-06",3,"7tq3tbUd","LYgovvuG",1,1,"D","C",0,0,0,0,"DC",0,0,"1586698951_78419_01","028085_S01_HH"
"e1.2_2017-08-24",3,"8xSP33VT","YsqB1Gnw",1,1,"C","C",0,1,0,1,"CC",1,0,"063329_S02_02","070133_S02_01"
"experiment-1.9-viscous-03_43.csv",3,"acxGxCoK","DmW1YT6p",1,1,"C","C",0,0,0,0,"CC",1,0,"1828041859_78419_01","4148885876_78419_01"
"experiment-1.9-viscous-03_43.csv",3,"acxGxCoK","Kk19y4uE",0,1,"C","C",0,1,0,1,"CC",1,0,"1828041859_78419_01","079616_S02_01"
"e1.5_2017-09-06",3,"Aosqpm7K","2Ls5Rpdm",1,1,"C","C",0,0,0,0,"CC",1,0,"4198745311_78419_01","4198746100_78419_01"
"e1.5_2017-09-06",3,"Aosqpm7K","ctPYgH2O",1,1,"C","C",0,0,0,0,"CC",1,0,"4198745311_78419_01","4209524955_78419_01"
"e1.5_2017-09-06",3,"Aosqpm7K","HDIRa6VS",1,1,"C","C",0,1,0,1,"CC",1,0,"4198745311_78419_01","4135951463_78419_01"
"e1.5_2017-09-06",3,"Aosqpm7K","L3XqYDJz",0,1,"C","C",0,1,0,1,"CC",1,0,"4198745311_78419_01","008751_S01_HH"
"e1.5_2017-09-06",3,"Aosqpm7K","S9a33uXU",1,1,"C","C",0,0,0,0,"CC",1,0,"4198745311_78419_01","4191195351_5107_01"
"e1.8_2017-09-17",3,"b3pCCPJi","E1MjVql9",1,1,"C","C",0,0,0,0,"CC",1,0,"4142196852_78419_01","4210170720_78419_01"
"experiment-1.9-viscous-03_43.csv",3,"BLMYbFQS","RjopVhCS",0,1,"C","C",0,1,0,1,"CC",1,0,"4098582171_78419_01","4205995111_78419_01"
"e1.2_2017-08-24",3,"BTEQAhN9","U6TIZF22",1,1,"C","C",0,0,0,0,"CC",1,0,"4141905319_78419_01","4135950385_78419_01"
"e1.5_2017-09-06",3,"c6i3AAwk","16hkBHE1",1,1,"C","C",0,0,0,0,"CC",1,0,"4198734039_78419_01","4198730040_78419_01"
