"playerid","round_num","group_coop","decision0d1c","group","condition","session","ingroup","biased","identities","empanel_id"
"i7IIFMIb",1,1,1,"1","Biased-2","e2.3_2017-08-31",1,1,0,"4210182356_78419_01"
"iCrky02j",1,3,1,"0","Biased-4","e2.3_2017-08-21",0,1,1,"4141903717_78419_01"
"iCrky02j",1,2,1,"0","Biased-4","e2.3_2017-08-21",0,1,1,"4141903717_78419_01"
"iCrky02j",1,1,1,"0","Biased-4","e2.3_2017-08-21",0,1,1,"4141903717_78419_01"
"IEEr3afx",1,2,0,"0","Biased-4","e2.2_2017-08-24",0,1,1,"4224790013_78419_01"
"IEEr3afx",1,0,1,"0","Biased-4","e2.2_2017-08-24",1,1,1,"4224790013_78419_01"
"IjV6gF7P",1,1,1,"0","Biased-4","e2.2_2017-08-21",0,1,1,"4222258798_78419_01"
"IjV6gF7P",1,0,1,"0","Biased-4","e2.2_2017-08-21",1,1,1,"4222258798_78419_01"
"ioIMkkv3",1,0,1,"0","Biased-2","e2.4_2017-08-27",1,1,0,"1869068229_78419_01"
"J3MbipTM",1,1,0,"1","Biased-4","e2.3_2017-08-21",1,1,1,"4128111861_78419_01"
"jC2kr3u0",1,1,1,"0","Biased-2","e2.3_2017-08-31",0,1,0,"4210176685_78419_01"
"jC2kr3u0",1,0,1,"0","Biased-2","e2.3_2017-08-31",1,1,0,"4210176685_78419_01"
"JckRZ4Su",1,1,1,"1","Biased-2","e2.3_2017-08-28",1,1,0,"4142231922_78419_01"
"JkDj57W3",1,0,1,"0","Biased-2","e2.4_2017-09-01",1,1,0,"035315_S01_HH"
"JkDj57W3",1,1,1,"0","Biased-2","e2.4_2017-09-01",0,1,0,"035315_S01_HH"
"jlkiDCUf",1,1,1,"0","Biased-2","e2.4_2017-08-27",0,1,0,"1797570488_78419_01"
"jlkiDCUf",1,0,0,"0","Biased-2","e2.4_2017-08-27",1,1,0,"1797570488_78419_01"
"jLzegXH6",1,1,1,"1","Unbiased-2","e2.6_2017-09-09",1,0,0,"4210178541_78419_01"
"jLzegXH6",1,0,0,"1","Unbiased-2","e2.6_2017-09-09",0,0,0,"4210178541_78419_01"
"jmFnOoKt",1,1,0,"0","Unbiased-4","e2.5_2017-09-07",0,0,1,"4224766527_78419_01"
"jmFnOoKt",1,0,1,"0","Unbiased-4","e2.5_2017-09-07",1,0,1,"4224766527_78419_01"
"jmFnOoKt",1,2,0,"0","Unbiased-4","e2.5_2017-09-07",0,0,1,"4224766527_78419_01"
"JnID4Q2o",1,0,1,"0","Unbiased-2","e2.6_2017-09-09",1,0,0,"4183009964_78419_01"
"JnID4Q2o",1,1,1,"0","Unbiased-2","e2.6_2017-09-09",0,0,0,"4183009964_78419_01"
"JPppFZWQ",1,1,1,"1","Biased-2","e2.3_2017-08-31",1,1,0,"4198735108_78419_01"
"JPppFZWQ",1,0,1,"1","Biased-2","e2.3_2017-08-31",0,1,0,"4198735108_78419_01"
"jTcyevlw",1,0,0,"1","Biased-2","e2.4_2017-08-27",0,1,0,"4083364193_78914_01"
"jTcyevlw",1,1,1,"1","Biased-2","e2.4_2017-08-27",1,1,0,"4083364193_78914_01"
"ju7eWJ5D",1,1,1,"1","Biased-2","e2.3_2017-08-31",1,1,0,"4198696732_78419_01"
"ju7eWJ5D",1,0,0,"1","Biased-2","e2.3_2017-08-31",0,1,0,"4198696732_78419_01"
"JxdStep4",1,0,1,"0","Biased-2","e2.4_2017-08-27",1,1,0,"4210175671_78419_01"
